ROC_AUC,PR_AUC_active,PR_AUC_inactive,MCC,BalancedAcc,Recall_active,Recall_inactive,Precision_active,Precision_inactive,Brier,threshold,TN,FP,FN,TP,model,fold,split
0.8387393591798948,0.9858970536948923,0.4374464408239507,0.4198460447208894,0.6108056540293991,0.9977307110438729,0.22388059701492538,0.9620714806710431,0.8333333333333334,0.03577453942174294,0.5,15,52,3,1319,RF_inactive_weight_5,5,Test
0.999544005241319,0.9999769866907707,0.9909161197045421,0.9263977670698947,0.9492601004586154,0.9981052631578947,0.9004149377593361,0.9949632738719832,0.9601769911504425,0.008322542515783045,0.5,217,24,9,4741,RF_inactive_weight_5,6,Train
0.98989898989899,0.9994616345461251,0.906782801019383,0.833053637309585,0.8694234006734006,0.9981060606060606,0.7407407407407407,0.9868913857677902,0.9523809523809523,0.01462916150317296,0.5,20,7,1,527,RF_inactive_weight_5,6,Validation
0.8432722920947456,0.9886929626774414,0.40761008893806494,0.3604272097198893,0.5951238512430284,0.9962178517397882,0.19402985074626866,0.9606126914660832,0.7222222222222222,0.036619291903603815,0.5,13,54,5,1317,RF_inactive_weight_5,6,Test
0.9994528055676382,0.9999723174666848,0.9889090503506656,0.9243766601284008,0.947399739016964,0.9981052631578947,0.8966942148760331,0.9947545111204364,0.9601769911504425,0.008711883503932002,0.5,217,25,9,4741,RF_inactive_weight_5,7,Train
0.9951923076923077,0.9997592476092709,0.9361595107043685,0.8497994132441121,0.8836684149184149,0.9981060606060606,0.7692307692307693,0.9887429643527205,0.9523809523809523,0.01298303316312308,0.5,20,6,1,527,RF_inactive_weight_5,7,Validation
0.8467270305055659,0.986710981233545,0.40415334351654597,0.37847431672828885,0.6025865378101926,0.9962178517397882,0.208955223880597,0.9613138686131387,0.7368421052631579,0.036989367783722485,0.5,14,53,5,1317,RF_inactive_weight_5,7,Test
0.9995328403653762,0.9999763607455046,0.9905299331241911,0.9266949726634821,0.9494658547194432,0.9981052631578947,0.9008264462809917,0.9949632738719832,0.960352422907489,0.007868439432514822,0.5,218,24,9,4741,RF_inactive_weight_5,8,Train
0.9490821678321678,0.9968801185571675,0.7046479641186228,0.5802166347524931,0.6913607226107226,0.9981060606060606,0.38461538461538464,0.9705340699815838,0.9090909090909091,0.02491301039589956,0.5,10,16,1,527,RF_inactive_weight_5,8,Validation
0.8509043285840089,0.989411547929519,0.40182739357611197,0.3604272097198893,0.5951238512430284,0.9962178517397882,0.19402985074626866,0.9606126914660832,0.7222222222222222,0.03672347596972467,0.5,13,54,5,1317,RF_inactive_weight_5,8,Test
0.9994558909196667,0.9999726282263642,0.9886546063764934,0.9244201860623587,0.9511245066555108,0.9976846979583246,0.9045643153526971,0.9951711106445518,0.9519650655021834,0.008466057985931122,0.5,218,23,11,4740,RF_inactive_weight_5,9,Train
0.9785649026635743,0.9988250050428062,0.8624148915886451,0.8330407048511433,0.8694216037669548,0.9981024667931688,0.7407407407407407,0.9868667917448405,0.9523809523809523,0.016275218310375275,0.5,20,7,1,526,RF_inactive_weight_5,9,Validation
0.8355555806444329,0.9866805893731156,0.40793861086197136,0.3604272097198893,0.5951238512430284,0.9962178517397882,0.19402985074626866,0.9606126914660832,0.7222222222222222,0.03664561354102661,0.5,13,54,5,1317,RF_inactive_weight_5,9,Test
0.9994646246127699,0.9999731090896442,0.9885885905814076,0.9150610408112112,0.9428257514687888,0.9976846979583246,0.8879668049792531,0.9943360604153556,0.9511111111111111,0.008354714194793401,0.5,214,27,11,4740,RF_inactive_weight_5,10,Train
0.9785649026635744,0.9987434153739025,0.8245901829298735,0.6617744820236098,0.7573617260524281,0.9962049335863378,0.5185185185185185,0.9758364312267658,0.875,0.02025650209394092,0.5,14,13,2,525,RF_inactive_weight_5,10,Validation
0.8419174927179534,0.9877742661923368,0.42885493304555417,0.34165583688462914,0.5876611646758643,0.9962178517397882,0.1791044776119403,0.9599125364431487,0.7058823529411765,0.036158333338190504,0.5,12,55,5,1317,RF_inactive_weight_5,10,Test
0.9995737060493557,0.9999785602025482,0.9910223944376673,0.959252824612427,0.9861834461672854,0.9972631578947369,0.975103734439834,0.9987349778621126,0.9475806451612904,0.008358831525173128,0.5,235,6,13,4737,RF_inactive_weight_10,1,Train
0.9414983164983166,0.9946388377565876,0.8739579555858119,0.7865255624362351,0.8323863636363635,0.9981060606060606,0.6666666666666666,0.9832089552238806,0.9473684210526315,0.017270521835948252,0.5,18,9,1,527,RF_inactive_weight_10,1,Validation
0.8523946078984804,0.9887726223684444,0.42005763320629297,0.3576075123738524,0.6018301081581502,0.9947049924357034,0.208955223880597,0.9612573099415205,0.6666666666666666,0.03679444758589666,0.5,14,53,7,1315,RF_inactive_weight_10,1,Test
0.999596418431972,0.9999796830103396,0.9916065717930763,0.9633583016859799,0.9863939724830749,0.9976842105263158,0.975103734439834,0.9987355110642782,0.9552845528455285,0.008576771885224975,0.5,235,6,11,4739,RF_inactive_weight_10,2,Train
0.9806397306397306,0.9987505759418043,0.9178448543926923,0.8614736029971382,0.9230850168350169,0.9943181818181818,0.8518518518518519,0.9924385633270322,0.8846153846153846,0.01598125312692937,0.5,23,4,3,525,RF_inactive_weight_10,2,Validation
0.846670580531533,0.9880046759271244,0.4272193348957933,0.3576075123738524,0.6018301081581502,0.9947049924357034,0.208955223880597,0.9612573099415205,0.6666666666666666,0.03685390197624831,0.5,14,53,7,1315,RF_inactive_weight_10,2,Test
0.9995405110286087,0.9999768836663852,0.9903829295748036,0.9547230186375671,0.9820340685739244,0.9972631578947369,0.966804979253112,0.9983140147523709,0.9471544715447154,0.008064882029240557,0.5,233,8,13,4737,RF_inactive_weight_10,3,Train
0.9604377104377104,0.9975150623846638,0.8099445511423647,0.7150669837109955,0.7944023569023568,0.9962121212121212,0.5925925925925926,0.9795158286778398,0.8888888888888888,0.02024381418629498,0.5,16,11,2,526,RF_inactive_weight_10,3,Validation
0.8428997222661277,0.9877976131088477,0.4216505576112797,0.3851432313542439,0.6096710095513356,0.9954614220877458,0.22388059701492538,0.9619883040935673,0.7142857142857143,0.03667221989402432,0.5,15,52,6,1316,RF_inactive_weight_10,3,Test
0.999753658003931,0.9999875733459401,0.9949855389552679,0.9654295217163051,0.9864992356409696,0.9978947368421053,0.975103734439834,0.9987357774968394,0.9591836734693877,0.007998462242109603,0.5,235,6,10,4740,RF_inactive_weight_10,4,Train
0.9525813692480359,0.996855585863125,0.8224083828087198,0.7013689979741194,0.811026936026936,0.9924242424242424,0.6296296296296297,0.9812734082397003,0.8095238095238095,0.019489118761964946,0.5,17,10,4,524,RF_inactive_weight_10,4,Validation
0.8423126425361844,0.9879276020723353,0.41725713949023224,0.3676653184757722,0.6022083229841714,0.9954614220877458,0.208955223880597,0.9612856099342586,0.7,0.03709705709964359,0.5,14,53,6,1316,RF_inactive_weight_10,4,Test
0.9995850622406638,0.9999791053203029,0.991419779407464,0.9633583016859799,0.9863939724830749,0.9976842105263158,0.975103734439834,0.9987355110642782,0.9552845528455285,0.008572342687854733,0.5,235,6,11,4739,RF_inactive_weight_10,5,Train
0.9908810325476992,0.9995229682343688,0.8962698324074091,0.7934165638943773,0.8675294612794613,0.9943181818181818,0.7407407407407407,0.9868421052631579,0.8695652173913043,0.01688400671968891,0.5,20,7,3,525,RF_inactive_weight_10,5,Validation
0.8587621649694042,0.9894556322445955,0.45039378891784476,0.4074018920287672,0.6104274392033779,0.9969742813918305,0.22388059701492538,0.962043795620438,0.7894736842105263,0.03588220329200057,0.5,15,52,4,1318,RF_inactive_weight_10,5,Test
0.9996374754313169,0.9999816967625335,0.9927837441920576,0.9567775452333523,0.9821393317318192,0.9974736842105263,0.966804979253112,0.9983143699957859,0.9510204081632653,0.008349703357355465,0.5,233,8,12,4738,RF_inactive_weight_10,6,Train
0.9917929292929293,0.9995674007223507,0.9185089751541085,0.7822034629551234,0.8841540404040404,0.990530303030303,0.7777777777777778,0.9886578449905482,0.8076923076923077,0.015022935374269953,0.5,21,6,5,523,RF_inactive_weight_10,6,Validation
0.8504527287917447,0.9873841288423189,0.40289985368035713,0.34821516684137926,0.6014518933321291,0.9939485627836612,0.208955223880597,0.9612289685442575,0.6363636363636364,0.03756613685609753,0.5,14,53,8,1314,RF_inactive_weight_10,6,Test
