fingerprint_bit,importance
668,0.0008645639797528508
1322,0.0008600121216338062
1309,0.000858454014945514
296,0.0008574421482826139
680,0.000855278822110364
1523,0.0008516937039743555
92,0.0008476430144691675
1946,0.0008462275015976484
761,0.0008430138918608908
207,0.000842667936854984
218,0.0008395017387649984
502,0.0008374635271221076
1991,0.0008353984219656753
1948,0.0008317229661225317
2004,0.0008305348961047567
1567,0.0008298270046978467
441,0.000825209530029549
879,0.0008236224287358964
1914,0.0008200610250878953
1087,0.0008176201926789156
1327,0.0008127001592834909
310,0.0008099981469865432
1028,0.0008065515981016904
1407,0.0008008094784458719
701,0.0007928877094185031
820,0.0007902301193257754
1781,0.0007797805528807274
329,0.0007744485304728337
175,0.0007724888686093017
674,0.0007699788231714476
1630,0.0007619966804925076
746,0.0007571888740590997
1441,0.0007551250873730079
1997,0.000752203696426766
819,0.0007425242912074743
384,0.0007413514966792565
305,0.0007349248352773369
283,0.0007323025181202379
140,0.000731816328811802
1136,0.0007272866394517891
41,0.0007177865259017514
911,0.0007156923135382229
1036,0.0007148457138530318
1489,0.0007129518008593777
1761,0.0007090303854191482
1077,0.0007060217756176774
1854,0.0007049152908900795
473,0.0007041891174292701
328,0.0006996405307407269
1326,0.0006958576058207911
1747,0.0006952586369883451
1203,0.0006821078140246649
1284,0.0006808696199796058
1450,0.0006803517898158712
1195,0.0006800085839633857
1853,0.000679709157521902
43,0.0006783709484068507
1158,0.0006780266124236192
744,0.0006775987571105711
1089,0.0006761670241841132
517,0.0006755178024495711
1923,0.0006751401995565075
1422,0.0006749132069643482
106,0.0006745938403943668
1563,0.0006727957839767483
142,0.0006725630908808906
158,0.0006682489039877965
724,0.0006671575451230212
1616,0.0006642599926350818
461,0.0006599807997350011
289,0.0006596652739388955
1094,0.0006572458279928587
528,0.000654950756731023
90,0.0006544841848121457
1004,0.0006528502480700901
526,0.0006486382300816963
652,0.0006438959830693947
661,0.0006438174132511545
855,0.0006429766564393737
728,0.000642971548567772
1586,0.0006422949582943324
1347,0.0006407141420909431
588,0.0006401532344975784
177,0.0006387700735789399
751,0.0006357608815382824
1097,0.0006337691059302424
1623,0.0006300310207670193
327,0.0006300065757887603
1216,0.000628921591621265
1717,0.0006206970469664678
1260,0.0006146089678116153
496,0.0006115608559280945
1631,0.0006092977992138717
1501,0.0006041491724178314
591,0.0006005783025452836
362,0.0005965880226258376
1882,0.0005951599344059119
1792,0.0005940076111832179
1985,0.0005919437958495624
1840,0.0005917726082360489
468,0.0005889440016936421
1832,0.0005884673746970248
1542,0.0005870445386488245
273,0.0005847954945032446
567,0.0005845693723281492
1163,0.0005780122108970945
1294,0.00057755721262418
1430,0.0005768235035233608
1750,0.0005745334117654427
313,0.0005703122580622468
333,0.0005670726089215808
1344,0.000566282322342811
1233,0.0005660821632200928
1175,0.000565218998178928
1447,0.0005641828773848196
895,0.0005631775649443148
1168,0.0005583123761422641
1192,0.0005572362593811555
1391,0.0005562698407625271
1224,0.0005540150364445623
804,0.0005496198626306723
2022,0.0005479161140321399
45,0.0005478205495330575
927,0.0005464494928365111
533,0.0005464267946992941
1503,0.0005457994219066297
772,0.0005450282446704255
446,0.0005433155123479543
1599,0.0005406499340384409
906,0.0005400617916369513
1922,0.0005395934181009108
837,0.0005323429177764391
1455,0.0005269429848659015
527,0.0005256100626191628
317,0.000525088293113339
248,0.0005215470476967276
226,0.000520025776049124
1498,0.0005199776666126575
2043,0.0005182612224712871
1545,0.0005161232680834517
40,0.000514993165877802
15,0.0005129336050885478
693,0.0005117069565228821
242,0.0005040879497517346
716,0.00050280046297683
1143,0.0004997138315291657
898,0.0004971096093889494
1064,0.0004964414626505494
1283,0.0004948569470252539
1517,0.0004937745663295717
1001,0.0004908780987593792
